               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11137,            0.014664,            0.077368,           0.0052266,               0.425,            0.024976,           0.0029249,            0.075199,            0.010276,            0.048352,              0.0982,              0.0002,              0.0002
                   1,             0.10912,            0.013741,            0.075183,           0.0065099,               0.425,            0.022153,            0.002403,            0.073015,            0.010778,            0.048057,            0.095499,          0.00049901,          0.00049901
                   2,            0.099127,            0.018505,            0.073836,             0.00914,                0.45,            0.012708,           0.0019081,             0.06917,            0.011712,            0.047458,            0.092797,          0.00079683,          0.00079683
                   3,            0.092697,            0.019786,            0.069971,           0.0097996,               0.625,            0.014054,           0.0018567,             0.06113,            0.013552,            0.046643,            0.090093,           0.0010935,           0.0010935
                   4,            0.087177,            0.025252,            0.067801,            0.012465,               0.925,            0.030927,           0.0040539,            0.053707,            0.014987,            0.045326,            0.087389,           0.0013889,           0.0013889
                   5,            0.079412,            0.020381,            0.063326,            0.012314,                0.95,             0.19227,            0.040751,            0.051879,            0.014932,            0.044078,            0.084683,           0.0016832,           0.0016832
                   6,            0.076362,            0.027806,            0.057849,            0.012098,                   1,             0.22824,            0.052042,            0.051646,            0.014491,            0.042551,            0.081976,           0.0019762,           0.0019762
                   7,            0.074447,            0.023388,            0.057895,            0.011914,                   1,             0.30149,            0.070574,            0.051437,            0.014189,            0.041102,            0.079268,           0.0022681,           0.0022681
                   8,            0.072187,             0.02435,            0.054443,            0.011379,                   1,              0.3777,             0.11464,            0.047886,             0.01426,            0.038034,            0.076559,           0.0025588,           0.0025588
                   9,            0.067862,            0.028058,            0.048737,            0.011605,                   1,             0.26134,             0.08931,             0.04455,             0.01434,            0.034709,            0.073848,           0.0028483,           0.0028483
                  10,            0.067081,            0.024566,            0.046422,             0.33372,             0.71039,             0.43394,             0.14218,            0.046234,            0.012336,            0.030063,            0.071137,           0.0031366,           0.0031366
                  11,            0.065554,            0.024512,            0.042306,             0.21958,                0.95,             0.23222,            0.087161,            0.045928,            0.012393,            0.029219,            0.068424,           0.0034238,           0.0034238
                  12,            0.063068,            0.024035,            0.039424,             0.14662,                   1,             0.19794,            0.071081,            0.048157,            0.012178,            0.028469,             0.06571,           0.0037097,           0.0037097
                  13,            0.062535,            0.018903,             0.03795,             0.26044,             0.88026,             0.35783,             0.13187,            0.042448,            0.013564,            0.028264,            0.062994,           0.0039945,           0.0039945
                  14,            0.068715,            0.021211,            0.037586,              0.5013,                   1,              0.6008,             0.17228,            0.039144,            0.013994,            0.027883,            0.060278,            0.004278,            0.004278
                  15,            0.065274,            0.018904,            0.036403,             0.21183,               0.675,             0.25356,             0.10363,             0.05037,            0.013848,            0.028861,             0.05756,           0.0045604,           0.0045604
                  16,            0.062163,            0.017776,            0.034577,             0.14859,                 0.7,             0.22169,            0.063408,            0.061041,             0.01342,            0.029348,            0.054842,           0.0048416,           0.0048416
                  17,            0.065483,            0.016685,            0.033947,             0.22493,               0.475,              0.2237,             0.06831,            0.048969,            0.013736,            0.027827,            0.052122,           0.0051216,           0.0051216
                  18,            0.063921,            0.017323,            0.033482,             0.38183,                   1,             0.58429,              0.3067,            0.050395,            0.012395,            0.026587,              0.0494,           0.0054004,           0.0054004
                  19,            0.061394,            0.015904,            0.033237,             0.21401,                0.95,               0.238,            0.090622,            0.048523,            0.012421,            0.025147,            0.046678,            0.005678,            0.005678
                  20,            0.058737,            0.018798,            0.031867,             0.38518,                0.95,             0.62673,             0.29365,            0.056506,            0.010984,            0.023802,            0.043954,           0.0059545,           0.0059545
                  21,            0.074187,            0.015533,             0.03183,             0.40245,               0.925,             0.64929,             0.17835,            0.054181,            0.010854,            0.022426,             0.04123,           0.0062297,           0.0062297
                  22,            0.063092,            0.016341,             0.03087,             0.11663,                0.85,             0.13442,            0.075381,            0.052322,            0.010537,            0.021023,            0.038504,           0.0065038,           0.0065038
                  23,            0.063748,            0.014927,            0.032363,             0.49556,                 0.9,             0.65655,             0.18743,            0.046504,           0.0091622,            0.020285,            0.035777,           0.0067767,           0.0067767
                  24,            0.058121,            0.015658,            0.032273,             0.11219,                0.85,             0.12467,            0.087255,            0.051303,            0.010424,            0.019417,            0.033048,           0.0070484,           0.0070484
                  25,             0.07418,            0.015102,            0.030377,              0.3741,               0.975,             0.65101,             0.31854,            0.046636,           0.0089933,            0.019054,            0.030319,           0.0073188,           0.0073188
                  26,             0.05925,            0.015829,            0.031402,             0.28562,               0.825,             0.49169,              0.2696,             0.04757,           0.0094053,            0.019103,            0.027588,           0.0075882,           0.0075882
                  27,            0.069695,            0.015085,            0.029291,             0.32262,             0.87196,             0.53329,             0.22337,            0.050162,           0.0084457,            0.018003,            0.024856,           0.0078563,           0.0078563
                  28,            0.072081,            0.015359,            0.030552,             0.32262,             0.87196,             0.53329,             0.22337,            0.050162,           0.0084457,            0.018003,            0.022123,           0.0081232,           0.0081232
                  29,            0.062552,            0.015788,            0.029363,             0.44979,                 0.9,             0.74945,             0.46205,            0.041739,           0.0083755,            0.017245,            0.019389,            0.008389,            0.008389
                  30,            0.064086,            0.014499,            0.029363,             0.41473,                 0.9,             0.81954,             0.34073,            0.046674,           0.0087099,            0.016757,            0.016654,           0.0086535,           0.0086535
                  31,            0.068057,            0.013797,             0.02772,             0.24899,                 0.8,             0.32339,            0.067702,            0.054472,           0.0075427,            0.015496,            0.013917,           0.0089169,           0.0089169
                  32,            0.068384,            0.015716,            0.027035,             0.24899,                 0.8,             0.32339,            0.067702,            0.054472,           0.0075427,            0.015496,            0.011179,           0.0091791,           0.0091791
                  33,             0.06444,            0.012457,            0.027185,             0.47879,             0.98101,             0.95059,             0.45434,            0.050096,           0.0076875,            0.014557,           0.0093466,           0.0093466,           0.0093466
                  34,            0.069289,            0.012844,            0.027661,             0.49625,               0.975,             0.96473,             0.54593,            0.050274,           0.0079181,            0.013811,           0.0093466,           0.0093466,           0.0093466
                  35,            0.068454,            0.013201,            0.026379,             0.65584,                0.85,             0.91091,             0.35606,            0.047841,           0.0071562,            0.012703,           0.0093268,           0.0093268,           0.0093268
                  36,            0.065352,              0.0142,            0.026143,             0.65584,                0.85,             0.91091,             0.35606,            0.047841,           0.0071562,            0.012703,            0.009307,            0.009307,            0.009307
                  37,            0.060069,            0.014679,             0.02298,              0.5808,                 0.8,             0.78027,             0.31133,            0.044432,           0.0071719,            0.013727,           0.0092872,           0.0092872,           0.0092872
                  38,            0.060015,             0.01485,            0.025394,             0.61684,                 0.8,             0.78774,              0.5675,            0.038851,           0.0078776,            0.016164,           0.0092674,           0.0092674,           0.0092674
                  39,            0.060896,            0.015584,            0.022684,             0.78127,             0.99432,             0.93886,             0.36941,            0.034192,           0.0083335,            0.015188,           0.0092476,           0.0092476,           0.0092476
                  40,            0.055233,            0.014682,            0.022393,             0.78127,             0.99432,             0.93886,             0.36941,            0.034192,           0.0083335,            0.015188,           0.0092278,           0.0092278,           0.0092278
